sample_idx,rtt_ms
0,0.096068
1,0.092477
2,0.089854
3,0.111632
4,0.091180
5,0.090659
6,0.111900
7,0.105493
8,0.091121
9,0.090860
10,0.107400
11,0.091463
12,0.091366
13,0.090979
14,0.089280
15,0.112765
16,0.110596
17,0.098757
18,0.098586
19,0.116251
20,0.111111
21,0.114061
22,0.097483
23,0.109263
24,0.111043
25,0.098094
26,0.114910
27,0.107899
28,0.097446
29,0.113875
30,0.112444
31,0.097714
32,0.097275
33,0.108525
34,0.098206
35,0.098079
36,0.098184
37,0.095516
38,0.097826
39,0.114530
40,0.097297
41,0.098333
42,0.128299
43,0.097491
44,0.096254
45,0.102736
46,0.098087
47,0.098348
48,0.118673
49,0.097997
50,0.097536
51,0.125982
52,0.097744
53,0.099495
54,0.114001
55,0.110850
56,0.098400
57,0.100918
58,0.109144
59,0.097625
60,0.098467
61,0.111103
62,0.097625
63,0.099495
64,0.115655
65,0.096038
66,0.098370
67,0.112355
68,0.097528
69,0.098854
70,0.111230
71,0.098430
72,0.098951
73,0.098102
74,0.096589
75,0.099383
76,0.116937
77,0.097819
78,0.097759
79,0.107132
80,0.098586
81,0.096716
82,0.117399
83,0.109687
84,0.098065
85,0.098094
86,0.131510
87,0.093728
88,0.094421
89,0.093274
90,0.093527
91,0.093184
92,0.111729
93,0.093855
94,0.093520
95,0.110142
96,0.094198
97,0.093140
98,0.112124
99,0.093743
100,0.092708
101,0.093125
102,0.091590
103,0.093289
104,0.112280
105,0.083253
106,0.093058
107,0.120409
108,0.093386
109,0.092648
110,0.110961
111,0.105508
112,0.093028
113,0.093080
114,0.093237
115,0.093125
116,0.118181
117,0.092931
118,0.090972
119,0.093311
120,0.093579
121,0.093669
122,0.092842
123,0.106633
124,0.093587
125,0.112109
126,0.093974
127,0.098899
128,0.098288
129,0.098057
130,0.097714
131,0.098482
132,0.096776
133,0.097796
134,0.112504
135,0.097148
136,0.098079
137,0.115328
138,0.109844
139,0.097960
140,0.098154
141,0.098392
142,0.098772
143,0.114419
144,0.098102
145,0.098512
146,0.097208
147,0.110693
148,0.097446
149,0.109039
150,0.097543
151,0.097640
152,0.099070
153,0.096723
154,0.111118
155,0.095159
156,0.098027
157,0.110075
158,0.097834
159,0.098243
160,0.122644
161,0.098139
162,0.094637
163,0.109673
164,0.093348
165,0.108659
166,0.109278
167,0.098221
168,0.093043
169,0.108302
170,0.093877
171,0.093997
172,0.107691
173,0.093192
174,0.093922
175,0.108443
176,0.093356
177,0.108190
178,0.097409
179,0.093877
180,0.111394
181,0.093214
182,0.093684
183,0.092864
184,0.108354
185,0.090897
186,0.094332
187,0.108302
188,0.093356
189,0.092827
190,0.121348
191,0.092976
192,0.094362
193,0.111759
194,0.093006
195,0.093386
196,0.107788
197,0.094064
198,0.093594
199,0.096828
200,0.098340
201,0.098273
202,0.109911
203,0.099264
204,0.098012
205,0.109576
206,0.098862
207,0.098415
208,0.111394
209,0.115924
210,0.098504
211,0.116594
212,0.099644
213,0.099160
214,0.099853
215,0.101328
216,0.100099
217,0.099860
218,0.106618
219,0.093758
220,0.092357
221,0.094429
222,0.091381
223,0.107966
224,0.096954
225,0.093408
226,0.114180
227,0.094920
228,0.093579
229,0.108771
230,0.093892
231,0.093438
232,0.111543
233,0.093713
234,0.092722
235,0.107899
236,0.095107
237,0.106737
238,0.093035
239,0.099614
240,0.100985
241,0.108771
242,0.092477
243,0.091657
244,0.083230
245,0.107042
246,0.092983
247,0.093378
248,0.108361
249,0.093251
250,0.091940
251,0.116691
252,0.092164
253,0.093982
254,0.104018
255,0.093229
256,0.094563
257,0.106931
258,0.094160
259,0.090733
260,0.105746
261,0.109471
262,0.093266
263,0.105321
264,0.112109
265,0.105985
266,0.097692
267,0.112072
268,0.099316
269,0.101440
270,0.115700
271,0.100233
272,0.100397
273,0.111006
274,0.094056
275,0.093997
276,0.114672
277,0.094071
278,0.093430
279,0.106610
280,0.091836
281,0.094548
282,0.107035
283,0.095382
284,0.095122
285,0.109360
286,0.093594
287,0.094377
288,0.108823
289,0.102460
290,0.107616
291,0.094280
292,0.103682
293,0.094227
294,0.092901
295,0.108048
296,0.091366
297,0.112444
298,0.108391
299,0.094756
300,0.094444
301,0.109911
302,0.094242
303,0.106089
304,0.094309
305,0.094086
306,0.119075
307,0.109710
308,0.093982
309,0.094213
310,0.108942
311,0.107639
312,0.095226
313,0.106715
314,0.094488
315,0.094436
316,0.113539
317,0.094458
318,0.121422
319,0.095084
320,0.093445
321,0.110939
322,0.093222
323,0.094257
324,0.095174
325,0.093080
326,0.091501
327,0.094421
328,0.094108
329,0.093520
330,0.094064
331,0.107564
332,0.093989
333,0.096492
334,0.097468
335,0.094637
336,0.093810
337,0.109084
338,0.093766
339,0.094175
340,0.107393
341,0.094563
342,0.092819
343,0.113599
344,0.094384
345,0.094093
346,0.107951
347,0.094265
348,0.093654
349,0.106573
350,0.094496
351,0.094175
352,0.094324
353,0.093639
354,0.122987
355,0.093751
356,0.092119
357,0.094019
358,0.106230
359,0.094943
360,0.094302
361,0.094302
362,0.095591
363,0.118203
364,0.108451
365,0.094391
366,0.109680
367,0.093833
368,0.093579
369,0.094116
370,0.095263
371,0.093393
372,0.094205
373,0.104479
374,0.094414
375,0.093922
376,0.123337
377,0.092663
378,0.093535
379,0.108227
380,0.094920
381,0.093848
382,0.112571
383,0.094511
384,0.093572
385,0.109300
386,0.092320
387,0.094548
388,0.107951
389,0.094771
390,0.094458
391,0.104003
392,0.094831
393,0.091478
394,0.111558
395,0.094712
396,0.093386
397,0.109702
398,0.109047
399,0.094578
400,0.121772
401,0.094898
402,0.094257
403,0.109568
404,0.094362
405,0.094101
406,0.110127
407,0.093192
408,0.094995
409,0.093907
410,0.094339
411,0.094548
412,0.116669
413,0.094466
414,0.094317
415,0.094131
416,0.093818
417,0.094689
418,0.108391
419,0.093594
420,0.094317
421,0.104055
422,0.107288
423,0.092380
424,0.098310
425,0.103325
426,0.093706
427,0.094533
428,0.095010
429,0.095457
430,0.115328
431,0.095196
432,0.094436
433,0.094123
434,0.094056
435,0.094846
436,0.103228
437,0.092939
438,0.094399
439,0.108272
440,0.094496
441,0.094131
442,0.107333
443,0.094555
444,0.094116
445,0.108004
446,0.093773
447,0.094950
448,0.094913
449,0.103340
450,0.094280
451,0.094183
452,0.104129
453,0.092983
454,0.104398
455,0.110812
456,0.094593
457,0.094362
458,0.121139
459,0.111036
460,0.092112
461,0.108130
462,0.094801
463,0.094607
464,0.113025
465,0.094339
466,0.094451
467,0.107996
468,0.094458
469,0.094518
470,0.107385
471,0.095308
472,0.095263
473,0.108272
474,0.109129
475,0.094205
476,0.107639
477,0.094205
478,0.094928
479,0.108682
480,0.108734
481,0.093117
482,0.094205
483,0.097461
484,0.095345
485,0.094548
486,0.098780
487,0.095248
488,0.106722
489,0.106707
490,0.092775
491,0.095323
492,0.094138
493,0.094049
494,0.093669
495,0.093907
496,0.094242
497,0.108100
498,0.094622
499,0.093997
500,0.103474
501,0.093684
502,0.094049
503,0.106737
504,0.092603
505,0.094146
506,0.110991
507,0.094488
508,0.094160
509,0.113554
510,0.109099
511,0.093855
512,0.094853
513,0.097789
514,0.094280
515,0.095107
516,0.103712
517,0.094414
518,0.093512
519,0.106715
520,0.092007
521,0.094801
522,0.107490
523,0.095010
524,0.095725
525,0.119880
526,0.094049
527,0.093095
528,0.107802
529,0.094905
530,0.094317
531,0.114150
532,0.094533
533,0.096172
534,0.105351
535,0.093877
536,0.094369
537,0.108846
538,0.112645
539,0.095524
540,0.094190
541,0.093691
542,0.094190
543,0.107571
544,0.094205
545,0.095002
546,0.098214
547,0.095062
548,0.093788
549,0.109397
550,0.092179
551,0.094377
552,0.115357
553,0.094637
554,0.094518
555,0.123769
556,0.094391
557,0.091866
558,0.117749
559,0.108786
560,0.093967
561,0.119291
562,0.094287
563,0.094540
564,0.114426
565,0.094995
566,0.094429
567,0.095479
568,0.094138
569,0.094593
570,0.094958
571,0.092424
572,0.094496
573,0.104561
574,0.095032
575,0.094749
576,0.110336
577,0.094995
578,0.094570
579,0.094108
580,0.091925
581,0.093967
582,0.112534
583,0.094742
584,0.094585
585,0.123128
586,0.094742
587,0.092961
588,0.103951
589,0.094414
590,0.094533
591,0.098914
592,0.094615
593,0.094175
594,0.111520
595,0.094861
596,0.094727
597,0.106968
598,0.094242
599,0.093780
600,0.094607
601,0.093065
602,0.094786
603,0.110060
604,0.094928
605,0.094853
606,0.111908
607,0.096358
608,0.094406
609,0.104755
610,0.107780
611,0.094287
612,0.094742
613,0.108972
614,0.094555
615,0.093274
616,0.118092
617,0.091992
618,0.094667
619,0.104763
620,0.103861
621,0.101201
622,0.108771
623,0.094093
624,0.091977
625,0.106774
626,0.094295
627,0.095002
628,0.110999
629,0.094548
630,0.108242
631,0.111349
632,0.094183
633,0.095308
634,0.112131
635,0.107318
636,0.094213
637,0.094928
638,0.102468
639,0.094377
640,0.094175
641,0.097588
642,0.094876
643,0.095710
644,0.106841
645,0.103161
646,0.094317
647,0.108935
648,0.094697
649,0.095285
650,0.110380
651,0.095360
652,0.093766
653,0.111207
654,0.092171
655,0.094689
656,0.108898
657,0.094481
658,0.094056
659,0.117682
660,0.094198
661,0.094905
662,0.107512
663,0.094138
664,0.094362
665,0.107303
666,0.093825
667,0.094503
668,0.108242
669,0.094421
670,0.094213
671,0.106819
672,0.094898
673,0.094406
674,0.113457
675,0.092804
676,0.094503
677,0.112772
678,0.094220
679,0.094816
680,0.094555
681,0.108443
682,0.092976
683,0.095129
684,0.094049
685,0.094332
686,0.094339
687,0.107475
688,0.095338
689,0.094734
690,0.107571
691,0.091925
692,0.102907
693,0.111260
694,0.094697
695,0.093989
696,0.103369
697,0.094444
698,0.093743
699,0.094309
700,0.095055
701,0.095092
702,0.106283
703,0.094622
704,0.095576
705,0.108682
706,0.094689
707,0.094876
708,0.112064
709,0.098020
710,0.094764
711,0.094853
712,0.092037
713,0.094555
714,0.112027
715,0.094965
716,0.095025
717,0.094071
718,0.094108
719,0.094503
720,0.094406
721,0.092618
722,0.094324
723,0.116624
724,0.094101
725,0.093773
726,0.123665
727,0.094421
728,0.112496
729,0.113569
730,0.108279
731,0.094540
732,0.094764
733,0.119701
734,0.095561
735,0.095055
736,0.108324
737,0.095017
738,0.094607
739,0.107005
740,0.095315
741,0.094742
742,0.107847
743,0.111178
744,0.094377
745,0.093669
746,0.094526
747,0.095591
748,0.107266
749,0.095040
750,0.104353
751,0.097960
752,0.094570
753,0.095226
754,0.104606
755,0.094615
756,0.093438
757,0.107430
758,0.092641
759,0.095323
760,0.106879
761,0.094995
762,0.094116
763,0.127725
764,0.094265
765,0.096969
766,0.107437
767,0.094399
768,0.093952
769,0.094183
770,0.109538
771,0.106804
772,0.114612
773,0.094771
774,0.094458
775,0.103012
776,0.108987
777,0.094816
778,0.094973
779,0.092104
780,0.094838
781,0.110179
782,0.094406
783,0.094898
784,0.094146
785,0.094593
786,0.094533
787,0.117488
788,0.107393
789,0.095956
790,0.095174
791,0.094548
792,0.112809
793,0.094123
794,0.094838
795,0.093766
796,0.108168
797,0.094950
798,0.095144
799,0.108182
800,0.092335
801,0.095174
802,0.108659
803,0.094853
804,0.094496
805,0.112832
806,0.114411
807,0.096671
808,0.094570
809,0.108466
810,0.094660
811,0.095315
812,0.111319
813,0.094436
814,0.106685
815,0.107028
816,0.093602
817,0.095069
818,0.105754
819,0.108905
820,0.094943
821,0.105537
822,0.107646
823,0.094369
824,0.094526
825,0.098825
826,0.095069
827,0.095062
828,0.095092
829,0.094339
830,0.093862
831,0.108376
832,0.093222
833,0.104465
834,0.105537
835,0.094838
836,0.117347
837,0.104591
838,0.094220
839,0.095837
840,0.105433
841,0.094302
842,0.094652
843,0.103772
844,0.095554
845,0.093877
846,0.108734
847,0.095204
848,0.094496
849,0.116579
850,0.095516
851,0.111081
852,0.094987
853,0.092700
854,0.094704
855,0.094250
856,0.094555
857,0.098363
858,0.117473
859,0.112996
860,0.093102
861,0.094056
862,0.107676
863,0.095285
864,0.094697
865,0.108048
866,0.094488
867,0.094771
868,0.110134
869,0.092827
870,0.094183
871,0.103869
872,0.094391
873,0.094607
874,0.121333
875,0.094287
876,0.094146
877,0.103876
878,0.094272
879,0.094771
880,0.104658
881,0.094153
882,0.094280
883,0.104934
884,0.094146
885,0.094630
886,0.104539
887,0.094883
888,0.104859
889,0.115782
890,0.096060
891,0.094302
892,0.108175
893,0.094794
894,0.095703
895,0.094503
896,0.094756
897,0.094257
898,0.109993
899,0.091471
900,0.094436
901,0.107579
902,0.094377
903,0.094920
904,0.114352
905,0.103652
906,0.091970
907,0.108689
908,0.108309
909,0.095055
910,0.108294
911,0.108749
912,0.094250
913,0.092804
914,0.106312
915,0.094779
916,0.094958
917,0.109471
918,0.094883
919,0.094272
920,0.113927
921,0.093937
922,0.094526
923,0.099979
924,0.094905
925,0.094891
926,0.112355
927,0.094265
928,0.094384
929,0.112049
930,0.094518
931,0.094347
932,0.113852
933,0.094831
934,0.094086
935,0.099599
936,0.091806
937,0.093892
938,0.113815
939,0.109024
940,0.094913
941,0.132963
942,0.108182
943,0.092804
944,0.111632
945,0.094749
946,0.094675
947,0.107504
948,0.094697
949,0.094362
950,0.122793
951,0.108689
952,0.095494
953,0.095911
954,0.110358
955,0.109181
956,0.094458
957,0.108317
958,0.095002
959,0.095554
960,0.112355
961,0.093892
962,0.093982
963,0.103816
964,0.094153
965,0.094831
966,0.106454
967,0.094533
968,0.095025
969,0.109226
970,0.094756
971,0.094794
972,0.108652
973,0.092082
974,0.115603
975,0.106752
976,0.110239
977,0.094138
978,0.119805
979,0.094444
980,0.095680
981,0.111915
982,0.094682
983,0.094607
984,0.110999
985,0.095025
986,0.094585
987,0.111982
988,0.094600
989,0.094049
990,0.112236
991,0.109553
992,0.094064
993,0.094838
994,0.091821
995,0.094391
996,0.103764
997,0.094399
998,0.095069
999,0.094838
1000,0.094183
1001,0.094898
1002,0.094533
1003,0.095606
1004,0.094369
1005,0.110894
1006,0.095047
1007,0.095353
1008,0.123754
1009,0.095077
1010,0.092842
1011,0.112496
1012,0.101238
1013,0.094719
1014,0.104971
1015,0.094429
1016,0.095144
1017,0.106387
1018,0.097156
1019,0.101119
1020,0.099428
1021,0.095017
1022,0.094756
1023,0.111409
1024,0.093035
1025,0.094369
1026,0.094831
1027,0.094630
1028,0.094675
1029,0.094712
1030,0.104010
1031,0.094958
1032,0.094950
1033,0.110961
1034,0.104263
1035,0.102729
